LAST_UPDATE,FREQUENCY,DESTINATION,PURPOSE,DURATION,UNIT,COUNTRY,TIME_PERIOD,OBS_VALUE
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2014,118949657
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2015,129381060
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2016,136718002
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2017,144731444
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2018,146661580
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2019,145713398
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2020,76102977
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2021,109029569
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2022,131651380
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2012,33897695
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2013,33551261
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2014,32270880
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2015,32981505
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2016,33206047
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2017,33997694
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2018,33093970
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2019,33082843
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2020,23336399
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2021,29246905
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FI,2022,29755346
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2012,203184738
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2013,203602292
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2014,205903787
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2015,183110642
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2016,179613679
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2017,196173554
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2018,196114914
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2019,193354601
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2020,147988211
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2021,181771179
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,FR,2022,206169571
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2012,7284473
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2013,7709380
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2014,6649823
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2015,5653498
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2016,3757674
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2017,4057749
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2018,4331636
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2019,5125886
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2020,2787061
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2021,3553325
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HR,2022,4042206
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2012,17558336
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2013,15303319
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2014,16560041
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2015,17283948
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2016,17389453
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2017,17913939
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2018,18559360
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2019,19051406
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2020,9690202
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2021,10832887
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,HU,2022,15297544
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2012,11116378
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2013,11132809
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2014,11372091
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2015,11720060
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2016,12406347
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2017,13379728
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2018,14620524
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2019,15689226
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2020,7648824
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2021,6127487
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IE,2022,16961759
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2012,55155456
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2013,46424986
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2014,46881229
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2015,43875348
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2016,50828763
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2017,50794932
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2018,59337852
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2019,54538932
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2020,29769407
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2021,33442757
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,IT,2022,43568101
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2012,3591817
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2013,3697248
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2014,3740470
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2015,3796313
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2016,3757500
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2017,3788279
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2018,4067849
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2019,4299140
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2020,2637489
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2021,3342817
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LT,2022,4637125
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2012,1354875
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2013,1404240
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2014,1540940
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2015,1471638
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2016,1411381
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2017,1975826
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2018,2068951
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2019,2071537
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2020,1388693
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2021,1784687
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LU,2022,2663071
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2012,4752603
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2013,3980389
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2014,4369740
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2015,3972359
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2016,4071859
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2017,3969184
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2018,3722889
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2019,3728515
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2020,1710120
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2021,2789931
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,LV,2022,3939978
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ME,2016,1374144
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ME,2017,1270386
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MK,2019,534230
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MK,2020,288966
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MK,2021,461664
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2012,437605
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2013,457866
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2014,485803
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2015,517739
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2016,637075
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2017,688388
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2018,752720
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2019,785453
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2020,500528
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2021,599243
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,MT,2022,865837
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2012,44231312
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2013,41109704
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2014,40200462
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2015,39309747
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2016,40251419
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2017,41545466
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2018,41009898
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2019,42583347
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2020,26617535
